FinalAudit,site,boxNumber,nestAttempt,Species,currentNestStatus,dateLastChecked,comments,firstEggLayDate,lastEggLayDate,lastEggLayDateCertainty1/0,eggWeight,numberEggsWeighed,weighDate,accidentalBreakage,finalClutchSize,IncubationConfirmed,incubationStartDate,checkHatchingDate,actualHatchDate,hatchCertainty1/0,numberEggsNotViable,faecalSample_Day-8,faecalSample_Day-15,BroodSize.D8,BroodSize.D15,expectedAdultTrappingDate,actualMaleTrappingDate,actualFemaleTrappingDate,trappingStatusTU/TN,numberTrapAttemptsM,maleID,maleColourRing,pitIDM,numberTrapAttemptsF,femaleID,femaleColourRing,pitIDF,expectedPullusRingingDate,actualPullusRingingDate,totalPullusRinged,numberPullusNotRinged,numberFledged,numberDeadPreRinged,preRingedDeadID,numberDeadPostRinged,postRingedDeadID,dateNestCleaned,site+boxNumber,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,
,KB,909,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,KB909,N0,,,,,,N0,,,,,,,N0,,,,,,,,N0,,,,,N0,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB,910,1,GRETI,,#REF!,ABANDONED AFTER TRAPPING FEMALE,59,65,0,,,,,6,1,64,76,80,1,1,88,95,5,0,91,,91,,,,,,,TW15317,WN3,110175151,94,88,4,1,0,1,A,4,"TX52597, TX52598, TX52599, TX52600",157,KB910,N0,,,,,,N2,,,,,,,N5,,,,,,,,EN6/WA/SB20+/FA/GRETI,,,,,,,Gave MWs,,,,EN6/FP/FA,EN6/GRETI MWs taken,EN6/FP/FA/GRETI,EN6/FP/FA/MWY,YN4/EN2/FA/GRETI/CONTROL,control,,control,control,control,control,control,,control,control,YN5/Control,"DY5(unr, TX52597,98,99,TX52600)- abandoned after trapping adults",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB,913,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,KB913,N0,,,,,,N2,,,,,,,N5,,,,,,,,N5,,,,,N5,,,,,,,N5,,,,,,,,,,,,,,N5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB,916,1,GRETI,,#REF!,,60,63,0,5.1,3,65,0,3,1,61,73,77,1,1,85,92,2,1,88,,89,,,,,,,TW15053,RU1,0700EDBBBE,91,85,1,1,1,1,B,,,,KB916,,,,,,,N3,,,,,,,N5,,,,,,,,EN3/EW5.1(3)/NP/WA,,,,EN3/FP/FA/GRETI,EN3/FP/FA/GRETI. MWs given,,,EN3/NP. MWs taken,EN3/FP/FA MW taken,,EN3/NP/CO,YN2/EN1/FP/FA/GRETI control,YN2/EN1,control,control,YN2/FP/GRETI/control,YN2/EN1/GRETI control,control,control,control + FS,control,control,,trapped Fe,control,control,YN1/EN1/CONTROL/FS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB,922,1,GRETI,,#REF!,Vandalised. Eggs broken.,55,,,5.75,3,57,,,1,60,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,KB922,N0,,,,,,N2,,,,,,,EN3/EW5.75(3)/CO/NP,,,,,EN5/SB20+/ND/WA/GRETI,,,,,,,,Vandalised. Eggs broken.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB,924,,,,#REF!,"Fallen trees, inaccessible",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KB924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB,927,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,KB927,NC,,,,,,NC,,,,,,,NC,,,,,,,,N1,,,,,NC,,,,,,,NC,,,,,,,,,,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB,932,,,,#REF!,,54,,,4.7,4,57,,,1,60,72,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,157,KB932,,,,,,,N5,,,,,,,EN4/EW4.7(4)/CO/NP,,,,,,,,EN6/WA/NP,,,,,,,,,,,,,,,,,chicks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
