feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.5392	Treatment	L. kimchicus	1.20915982477407	0.84762008907903	201	138	0.166045738388602	0.299332453089092
PWY.5677	Age.category	Adult	0.845287939847058	0.608367929469158	201	65	0.166385729808562	0.299494313655412
PWY.4722	Treatment	L. kimchicus	0.480076873693707	0.337178302634043	201	36	0.166823781729973	0.299831932028195
P42.PWY	Treatment	L. kimchicus	0.587567103300811	0.413915187739931	201	201	0.167905013694448	0.300451428575941
PWY.5420	Age.category	Adult	-0.952833365356721	0.688589348187924	201	179	0.168172478818614	0.300451428575941
PWY.5659	Treatment	L. kimchicus	0.666678307347553	0.469517005280145	201	201	0.16784207979679	0.300451428575941
PWY.5918	Age.category	D15	-0.391852180820639	0.283089922557173	201	201	0.168029954382247	0.300451428575941
PWY.6703	Treatment	L. kimchicus	0.754002569649912	0.532553270286999	201	200	0.168686756711789	0.300921084625949
PWY.5103	Age.category	Adult	0.517755735991708	0.375907422516495	201	201	0.170146442760401	0.303073351166964
PWY0.1277	Age.category	D15	-0.8006111561722	0.581868837631992	201	165	0.170513838110905	0.303276469864419
HCAMHPDEG.PWY	Age.category	Adult	-1.02997073080038	0.753800002416669	201	163	0.173532807263751	0.307350862928942
HISTSYN.PWY	Age.category	Adult	0.535261195519625	0.392061015640354	201	201	0.173913216216555	0.307350862928942
PWY.5651	Treatment	L. kimchicus	1.18537706876522	0.846179917608862	201	154	0.17368098508421	0.307350862928942
PWY.6690	Age.category	Adult	-1.02997073080038	0.753800002416669	201	163	0.173532807263751	0.307350862928942
PWY.722	Age.category	D15	-0.837526881853973	0.613809105169733	201	113	0.174088458701606	0.307350862928942
PWY0.1533	Age.category	D15	-0.592213897856207	0.434723496026366	201	189	0.174806825128345	0.308164609246877
PWY.7400	Age.category	D15	-0.304832616971962	0.22394609594378	201	201	0.17514260107367	0.308302490419387
PWY.181	Age.category	D15	-0.506128130319387	0.372135761763532	201	178	0.175524315619922	0.308368915191157
PWY.5097	Treatment	L. kimchicus	-0.170341103441051	0.122356121121029	201	201	0.175953190539315	0.308368915191157
PWY.6385	Age.category	D15	0.0906523804691733	0.0666807991084929	201	201	0.175713666506397	0.308368915191157
DTDPRHAMSYN.PWY	Treatment	L. kimchicus	0.666468514343935	0.480470208003066	201	201	0.177074460773616	0.308621596172146
