feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.7664	Age.category	Adult	1.38995031920318	0.56487967086816	201	194	0.0148249784567694	0.151670933442333
PWY0.862	Age.category	Adult	1.40902561147391	0.570933296776766	201	194	0.0145353579240131	0.151670933442333
TYRFUMCAT.PWY	Age.category	D15	-1.05122407538304	0.426814767106993	201	189	0.0147237326382759	0.151670933442333
GALACT.GLUCUROCAT.PWY	Age.category	Adult	1.45309987932561	0.591471026991747	201	191	0.01498578234967	0.151913761486354
PWYG.321	Age.category	Adult	1.38681185096568	0.565177987509245	201	193	0.0151025376916259	0.151913761486354
PWY.6282	Age.category	Adult	1.40174424157687	0.572474560065077	201	194	0.0153127161236284	0.152744343333194
PWY.6185	Age.category	D15	-1.16832093965196	0.478983098396521	201	165	0.0156848422170345	0.155163273832978
GALACTARDEG.PWY	Age.category	Adult	1.77902722689012	0.734745483254139	201	165	0.0164695603316633	0.155810123676077
GLUCARGALACTSUPER.PWY	Age.category	Adult	1.77902722689012	0.734745483254139	201	165	0.0164695603316633	0.155810123676077
P562.PWY	Age.category	D15	-0.971040293625252	0.398834763269318	201	196	0.0158927456788916	0.155810123676077
PWY.5989	Age.category	Adult	1.38522249493581	0.570920106901735	201	194	0.0162527478489156	0.155810123676077
PWY.6505	Age.category	Adult	-1.85983182038345	0.768601864542349	201	134	0.0165312328378127	0.155810123676077
PWY.7208	Age.category	Adult	-0.227352701614728	0.0935642226054891	201	201	0.0161075428861957	0.155810123676077
FASYN.ELONG.PWY	Age.category	D15	0.299865856856475	0.124169967856041	201	201	0.0167391690936267	0.156537385977118
PWY.6895	Age.category	Adult	1.09346696314023	0.453536162777705	201	194	0.0169267939854797	0.157064902330382
DENITRIFICATION.PWY	Treatment	L. kimchicus	1.77674680653173	0.697363700321375	201	112	0.0170940396008411	0.157363009615641
PYRIDOXSYN.PWY	Age.category	Adult	1.42897335176191	0.59429621382968	201	172	0.0172218498409766	0.157363009615641
PANTO.PWY	Age.category	Adult	0.835579082841595	0.348042213215672	201	201	0.017396161087778	0.157751551682351
ANAGLYCOLYSIS.PWY	Treatment	L. kimchicus	-0.264150646895902	0.105899657345824	201	201	0.0196368825128389	0.157804014771058
FASYN.INITIAL.PWY	Age.category	Adult	1.36647316634178	0.578361533462546	201	194	0.019224818615618	0.157804014771058
FUCCAT.PWY	Age.category	Adult	1.78402983158552	0.747360686662837	201	151	0.0180232839587008	0.157804014771058
METH.ACETATE.PWY	Treatment	L. kimchicus	2.07288598059193	0.829742607354222	201	108	0.0193286281370141	0.157804014771058
