feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
K17321	Treatment	L. kimchicus	1.70016521750177	0.956618898553326	201	163	0.0878297327306152	0.234663394499869
K01563	Treatment	L. kimchicus	1.40760618029275	0.79338566757022	201	194	0.0879544630405796	0.234817486803539
K02392	Age.category	D15	-0.612254236914379	0.356820946123061	201	201	0.0879148564055064	0.234817486803539
K05554	Age.category	Adult	-0.929360212361563	0.541661304834298	201	64	0.0879486076547063	0.234817486803539
K05979	Treatment	L. kimchicus	1.33269252845002	0.750726339938395	201	191	0.0879391548207705	0.234817486803539
K06987	Age.category	Adult	1.22707055943108	0.715212917102559	201	186	0.0879586279048744	0.234817486803539
K16437	Age.category	Adult	-0.438932547628139	0.255833164191652	201	24	0.0878993967519613	0.234817486803539
K00013	Age.category	D15	-0.544470468475817	0.317425982452754	201	201	0.0880361438828216	0.234834277007818
K05875	Age.category	Adult	1.4652113332218	0.854217622968978	201	150	0.0880289096888304	0.234834277007818
K15315	Age.category	Adult	-0.873283364576086	0.509098130841642	201	53	0.0879939659076243	0.234834277007818
K18298	Treatment	L. kimchicus	1.21968666785145	0.686940801602212	201	137	0.0879871435618668	0.234834277007818
K18918	Age.category	Adult	1.34668888717689	0.7852487015577	201	123	0.0880302308205707	0.234834277007818
K19701	Age.category	D15	-1.00191599649517	0.584212485396507	201	109	0.0880044168633867	0.234834277007818
K00794	Age.category	D15	-0.534181821586616	0.311442798419047	201	201	0.0880490739679098	0.234837101420142
K18930	Treatment	L. kimchicus	1.53957985417219	0.869168668762311	201	183	0.0880832337459458	0.234896539493435
K01428	Age.category	Adult	0.859509266502614	0.501217528230633	201	200	0.0881312674445945	0.234992954925053
K09007	Age.category	Adult	0.980811869985029	0.572003440244279	201	195	0.088162282615236	0.235043972330808
K05810	Age.category	D15	-0.554031104518711	0.323206212744155	201	201	0.0882378035693104	0.235213614096227
K01740	Treatment	L. kimchicus	1.17759390462948	0.664587167402344	201	201	0.0882507008033562	0.235216297937482
K10120	Age.category	D15	0.72660755397606	0.424032168041708	201	33	0.0882702655734305	0.235236749774162
K01495	Treatment	L. kimchicus	1.11791681066881	0.630788406599902	201	201	0.0882906477284254	0.235253585936524
K01620	Age.category	Adult	0.85531252904819	0.499056771826639	201	201	0.0883165135582841	0.235253585936524
K04076	Age.category	Adult	-1.26552840481027	0.738441559725582	201	162	0.0883064643201181	0.235253585936524
K09954	Age.category	Adult	1.21458179948838	0.708742023026512	201	178	0.0883241523986736	0.235253585936524
K00122	Treatment	L. kimchicus	1.51030233554186	0.852521790249351	201	179	0.0883887029706455	0.235253732300264
K01897	Treatment	L. kimchicus	1.13852066493442	0.642579845008175	201	201	0.088395561226765	0.235253732300264
K02672	Treatment	L. kimchicus	1.43677641794535	0.811262205975827	201	168	0.0883781849721457	0.235253732300264
K03931	Age.category	D15	-1.06445916518051	0.621251065875525	201	151	0.0883566236810253	0.235253732300264
K05714	Age.category	D15	-1.0288037980902	0.600455701396759	201	170	0.0883488302399323	0.235253732300264
